Citi,Country,Latitude,Longitude,Date,Maximum_Temp,Current_Temp,Humidity,Wind_Speed,Clouds
Provideniya,RU,64.38,-173.3,1585506419,-16.08,-16.08,68,1.51,0
Batemans Bay,AU,-35.72,150.18,1585506419,18.33,16.91,94,1.34,100
Hong Kong,HK,22.29,114.16,1585506415,22.78,20.52,88,9.3,40
Ust-Tsilma,RU,65.44,52.15,1585506420,-6.65,-6.65,94,3.11,69
Richards Bay,ZA,-28.78,32.04,1585506420,23.96,23.96,81,2.25,13
Fortuna,US,40.6,-124.16,1585506420,14.0,12.69,76,4.6,40
Qaanaaq,GL,77.48,-69.36,1585506420,-14.14,-14.14,91,3.56,100
Buala,SB,-8.14,159.59,1585506420,26.36,26.36,83,1.19,100
Bonthe,SL,7.53,-12.51,1585506420,29.74,29.74,68,5.53,36
Sakakah,SA,29.97,40.21,1585506421,18.0,18.0,23,3.6,0
Bom Jesus,BR,-9.07,-44.36,1585506421,30.18,30.18,59,3.36,44
Avarua,CK,-21.21,-159.78,1585506421,27.0,27.0,83,4.1,40
Aranos,NA,-24.13,19.12,1585506421,24.67,24.67,34,7.65,31
Pevek,RU,69.7,170.31,1585506421,-9.42,-9.42,88,12.7,100
Poole,GB,50.72,-2.0,1585506421,6.67,5.85,38,9.3,25
Kieta,PG,-6.22,155.63,1585506342,26.48,26.48,76,1.19,94
Vaini,TO,-21.2,-175.2,1585506422,26.0,26.0,88,1.5,75
León,MX,21.12,-101.67,1585506372,26.0,26.0,39,5.1,40
New Norfolk,AU,-42.78,147.06,1585506422,16.0,13.64,59,4.6,13
George Town,MY,5.41,100.34,1585506422,29.0,28.94,89,1.5,40
Poum,NC,-20.23,164.02,1585506422,25.43,25.43,77,7.76,19
Leningradskiy,RU,69.38,178.42,1585506422,-8.72,-8.72,82,4.07,99
Emerald,AU,-23.53,148.17,1585506423,21.0,20.3,88,3.6,0
Ancud,CL,-41.87,-73.82,1585506423,15.0,15.0,51,1.5,20
Kavieng,PG,-2.57,150.8,1585506423,28.27,28.27,73,2.24,93
Gambiran,ID,-6.8,111.5,1585506423,24.93,24.93,85,1.8,100
Severo-Yeniseyskiy,RU,60.37,93.04,1585506423,-6.75,-6.75,94,3.97,97
Kralendijk,BQ,12.15,-68.27,1585506423,29.0,29.0,66,8.7,23
Hithadhoo,MV,-0.6,73.08,1585506423,29.22,29.22,63,3.25,96
Nizwá,OM,22.93,57.53,1585506424,24.65,24.65,30,5.53,0
Lebu,CL,-37.62,-73.65,1585506424,16.36,16.36,58,8.2,0
Saint George,US,37.1,-113.58,1585506257,14.44,12.5,35,1.5,75
Mt. Pleasant,US,32.79,-79.86,1585506384,30.56,28.54,65,6.16,1
Portel,BR,-1.94,-50.82,1585506424,32.19,32.19,60,2.26,76
Zyryanka,RU,65.75,150.85,1585506424,-18.28,-18.28,92,2.74,53
Kaitangata,NZ,-46.28,169.85,1585506425,12.22,12.13,83,4.92,46
Beira,MZ,-19.84,34.84,1585506425,25.0,25.0,78,3.1,2
Laramie,US,41.31,-105.59,1585506313,8.0,4.44,32,5.1,20
Ugoofaaru,MV,5.67,73.0,1585506425,29.02,29.02,63,1.61,36
Kirakira,SB,-10.45,161.92,1585506425,25.92,25.92,86,0.35,100
Broome,US,42.25,-75.83,1585506425,12.22,10.76,87,6.7,90
Biak,ID,-0.91,122.88,1585506425,26.14,26.14,74,1.0,98
Masunga,BW,-20.62,27.45,1585506426,23.0,23.0,56,2.6,2
Axum,ET,14.12,38.72,1585506426,16.9,16.9,25,2.43,32
Laas,IT,46.62,10.7,1585506426,7.22,4.58,52,1.5,90
Kismayo,SO,-0.36,42.55,1585506426,28.95,28.95,77,4.63,67
Cap Malheureux,MU,-19.98,57.61,1585506426,27.0,26.79,94,4.1,75
Longyearbyen,SJ,78.22,15.64,1585506427,-17.0,-17.0,64,3.1,40
Ilulissat,GL,69.22,-51.1,1585506427,1.0,1.0,86,3.1,100
Udachny,RU,66.42,112.4,1585506427,-12.0,-12.0,92,1.0,90
Khatanga,RU,71.97,102.5,1585506245,-23.75,-23.75,91,0.52,98
Ulladulla,AU,-35.35,150.47,1585506767,20.0,20.0,72,4.6,40
Saint-Leu,RE,-21.15,55.28,1585506767,26.0,23.3,88,1.0,58
Rocha,UY,-34.48,-54.33,1585506490,28.76,28.76,50,2.81,57
Carballo,ES,43.21,-8.69,1585506768,13.89,12.42,62,6.7,75
Lorengau,PG,-2.02,147.27,1585506768,27.73,27.73,80,3.48,76
Bubaque,GW,11.28,-15.83,1585506768,27.28,27.28,67,7.46,15
Shimoda,JP,34.67,138.95,1585506726,6.67,4.4,91,0.89,100
Arlit,NE,18.74,7.39,1585506744,32.84,32.84,14,1.72,74
Áratos,GR,41.08,25.55,1585506768,11.11,10.21,93,0.8,20
Kouqian,CN,43.64,126.46,1585506768,2.8,2.8,63,4.2,0
Hilo,US,19.73,-155.09,1585506726,22.22,20.72,83,1.5,75
São José da Coroa Grande,BR,-8.9,-35.15,1585506769,28.75,28.75,73,5.54,70
Chokurdakh,RU,70.63,147.92,1585506519,-14.22,-14.22,95,4.62,99
Ahtopol,BG,42.1,27.95,1585506769,13.33,12.28,57,3.1,100
Puerto Rico,AR,-26.8,-55.02,1585506769,34.53,34.53,37,0.56,0
Lao Cai,VN,22.48,103.95,1585506769,23.81,23.81,76,0.07,30
Pangnirtung,CA,66.15,-65.71,1585506762,-15.0,-15.0,77,2.6,20
Gardez,AF,33.6,69.23,1585506769,7.6,7.6,30,1.66,88
Arraial do Cabo,BR,-22.97,-42.03,1585506769,28.0,28.0,61,5.7,20
São Filipe,CV,14.9,-24.5,1585506499,22.11,22.11,76,8.94,78
North Bend,US,43.41,-124.22,1585506770,10.56,9.94,93,3.1,90
Fujin,CN,47.26,132.03,1585506770,4.5,4.5,63,6.21,41
Nikolskoye,RU,59.7,30.79,1585506770,-1.67,-1.96,54,1.0,20
Aljezur,PT,37.32,-8.8,1585506648,16.11,16.11,83,1.8,99
Bengkulu,ID,-3.8,102.27,1585506770,24.74,24.74,82,4.39,100
Tuy Hoa,VN,13.08,109.3,1585506770,24.92,24.92,83,2.72,8
Porto-Novo,BJ,6.5,2.6,1585506543,29.0,29.0,83,5.7,20
Gazojak,TM,41.19,61.4,1585506770,15.94,15.94,27,5.72,0
Umm Hājar,TD,13.3,19.7,1585506771,31.23,31.23,11,1.53,81
Berdigestyakh,RU,62.1,126.7,1585506771,-13.07,-13.07,93,1.44,75
Mukhen,RU,48.1,136.1,1585506771,1.34,1.34,78,5.66,5
Namatanai,PG,-3.67,152.43,1585506771,27.85,27.85,74,2.02,91
Jamestown,US,42.1,-79.24,1585506771,18.33,16.57,67,9.3,75
Haapiti,PF,-17.57,-149.87,1585506771,30.0,30.0,62,3.1,53
Lüderitz,NA,-26.65,15.16,1585506771,18.0,18.0,72,7.2,0
Saryg-Sep,RU,51.5,95.6,1585506771,-10.47,-10.47,86,0.38,86
Neryungri,RU,56.67,124.65,1585506772,-11.63,-11.63,82,1.76,90
Turukhansk,RU,65.82,87.98,1585506772,-2.37,-2.37,98,5.67,100
Bima,ID,-8.47,118.72,1585506772,24.99,24.99,83,0.34,19
Nome,US,64.5,-165.41,1585506552,-17.0,-17.0,45,0.72,1
Beidao,CN,34.57,105.89,1585506578,8.06,8.06,48,1.75,91
Margate,GB,51.38,1.39,1585506599,5.56,4.61,51,8.2,33
Vostok,RU,46.49,135.88,1585506772,-5.15,-5.15,87,2.99,1
Okulovka,RU,58.4,33.29,1585506772,-1.75,-1.75,83,4.11,100
Tamale,GH,9.4,-0.84,1585506773,37.29,37.29,29,2.19,58
Deputatsky,RU,69.3,139.9,1585506773,-18.67,-18.67,87,2.09,100
Vaitape,PF,-16.52,-151.75,1585506773,28.97,28.97,72,4.32,45
Carahue,CL,-38.7,-73.17,1585506773,19.0,19.0,42,5.1,0
Sisimiut,GL,66.94,-53.67,1585506773,0.5,0.5,95,2.74,100
Narsaq,GL,60.92,-46.05,1585506496,5.0,5.0,86,4.87,100
Cabo San Lucas,MX,22.89,-109.91,1585506773,26.11,23.58,60,4.1,40
Disna,BY,55.57,28.2,1585506774,-0.44,-0.44,93,6.97,100
Port Elizabeth,ZA,-33.92,25.57,1585506774,17.0,17.0,88,4.6,40
Belaya Gora,RU,68.53,146.42,1585506774,-16.38,-16.38,94,3.77,100
Oodweyne,SO,9.41,45.06,1585506774,27.25,27.25,34,1.83,33
Kununurra,AU,-15.77,128.73,1585506774,24.0,24.0,78,1.5,50
Henties Bay,NA,-22.12,14.28,1585506774,16.11,16.11,89,0.89,2
Labuhan,ID,-6.88,112.21,1585506774,25.38,25.38,84,1.5,100
Cherskiy,RU,68.75,161.3,1585506774,-3.98,-3.98,91,8.47,100
Xichang,CN,27.9,102.26,1585506717,11.06,11.06,42,1.06,31
Wenceslau Braz,BR,-23.87,-49.8,1585506775,26.11,26.11,86,0.45,94
Majene,ID,-3.54,118.97,1585506775,26.06,26.06,83,1.48,100
Pau dos Ferros,BR,-6.11,-38.21,1585506775,31.1,31.1,54,2.04,38
Māngrol,IN,21.12,70.12,1585506775,24.87,24.87,66,5.4,0
Totoral,PE,-17.41,-70.36,1585506775,19.55,19.55,26,2.65,80
Weatherford,US,32.76,-97.8,1585506609,20.56,18.68,39,3.1,1
Zeya,RU,53.75,127.27,1585506776,-7.63,-7.63,93,0.73,90
Terrell,US,32.74,-96.28,1585506652,21.11,19.69,45,2.6,1
Progreso,MX,21.28,-89.67,1585506776,35.56,34.82,36,8.2,20
Erzin,TR,36.96,36.2,1585506776,15.0,12.65,58,7.2,75
Castleisland,IE,52.23,-9.47,1585506776,8.0,7.4,49,4.1,20
North Battleford,CA,52.78,-108.28,1585506552,0.56,-4.09,85,9.8,90
Itoman,JP,26.12,127.67,1585506776,20.0,19.27,82,1.5,75
Puerto Ayora,EC,-0.74,-90.35,1585506776,29.0,28.23,70,1.5,20
Monrovia,LR,6.3,-10.8,1585506504,28.0,28.0,83,4.37,75
Salalah,OM,17.02,54.09,1585506619,27.0,27.0,78,4.6,75
Hambantota,LK,6.12,81.12,1585506540,28.0,28.0,88,0.5,40
Padang,ID,-0.95,100.35,1585506533,24.78,24.78,82,1.94,100
Puerto Carreño,CO,6.19,-67.49,1585506777,37.0,37.0,30,7.2,40
Debre Birhan,ET,9.68,39.53,1585506572,12.63,12.63,31,2.6,1
Hirara,JP,24.8,125.28,1585506777,20.81,20.81,69,1.45,92
Saint-Joseph,RE,-21.37,55.62,1585506777,26.0,23.35,88,1.0,40
Payson,US,40.04,-111.73,1585506647,9.44,8.3,45,2.6,75
Chifeng,CN,42.27,118.96,1585506778,5.63,5.63,44,4.63,0
Byron Bay,AU,-28.65,153.62,1585506778,19.0,17.19,100,1.55,8
Lata,PT,40.16,-8.33,1585506563,16.67,16.05,59,2.6,20
Behshahr,IR,36.69,53.55,1585506778,10.0,10.0,93,2.1,81
Zhangaözen,KZ,43.3,52.8,1585506711,13.01,13.01,38,8.67,26
Saint Paul Harbor,US,57.79,-152.41,1585506778,-1.0,-1.0,58,5.1,90
Sassandra,CI,4.95,-6.08,1585506779,28.33,28.33,78,4.06,32
Grindavik,IS,63.84,-22.43,1585506779,6.0,5.48,93,10.3,75
Ponta do Sol,PT,32.67,-17.1,1585506779,18.0,16.24,77,1.5,20
Semey,KZ,50.41,80.23,1585506779,-3.69,-3.69,93,3.03,82
Najrān,SA,17.49,44.13,1585506779,29.0,29.0,28,7.2,5
Mormugao,IN,15.4,73.8,1585506779,29.0,29.0,79,2.1,20
Methóni,GR,36.82,21.7,1585506779,13.0,13.0,71,5.48,20
Murray Bridge,AU,-35.12,139.27,1585506780,17.22,15.74,74,1.34,5
Mar del Plata,AR,-38.0,-57.56,1585506780,21.11,20.48,94,5.1,75
Mangan,IN,27.52,88.53,1585506780,18.03,18.03,28,2.2,24
Constitución,CL,-35.33,-72.42,1585506780,19.54,19.54,51,6.64,37
Havelock,US,34.88,-76.9,1585506768,32.22,25.2,61,6.7,75
Bandarbeyla,SO,9.49,50.81,1585506780,26.75,26.75,72,4.67,52
Örebro,SE,59.27,15.21,1585506781,2.78,2.05,10,1.34,60
Gornozavodsk,RU,58.38,58.32,1585506781,0.07,0.07,86,5.22,98
Vallenar,CL,-28.57,-70.76,1585506781,28.05,28.05,23,4.32,87
Bartica,GY,6.4,-58.62,1585506781,26.0,26.0,94,3.1,90
Yerbogachën,RU,61.28,108.01,1585506781,-6.37,-6.37,93,5.0,99
Shaunavon,CA,49.65,-108.42,1585506781,4.28,4.28,57,5.24,25
Chisindia,RO,46.28,22.1,1585506781,10.0,10.0,57,1.0,32
Gwadar,PK,25.12,62.33,1585506782,23.93,23.93,73,3.06,49
Kapoeta,SS,4.77,33.59,1585506782,23.61,23.61,64,2.21,90
Hailey,US,43.52,-114.32,1585506782,6.0,6.0,52,3.6,90
Raudeberg,NO,61.99,5.14,1585506782,5.0,3.11,80,9.8,75
Faanui,PF,-16.48,-151.75,1585506782,28.49,28.49,72,4.36,44
Channel-Port aux Basques,CA,47.57,-59.14,1585506782,-0.18,-0.18,94,5.01,0
Puri,IN,19.8,85.85,1585506485,25.0,25.0,83,4.6,75
Vitim,RU,59.45,112.56,1585506782,-5.52,-5.52,93,5.04,100
Kloulklubed,PW,7.04,134.26,1585506720,25.0,25.0,88,1.5,75
Kogon,UZ,39.72,64.55,1585506783,14.0,13.74,47,2.1,70
Isangel,VU,-19.55,169.27,1585506783,25.4,25.4,87,8.65,100
Shache,CN,38.42,77.24,1585506783,11.15,11.15,23,0.8,46
Värnamo,SE,57.19,14.04,1585506783,1.67,1.37,40,3.1,12
Kenai,US,60.55,-151.26,1585506695,-7.0,-7.0,41,11.3,1
Tahe,CN,52.33,124.73,1585506733,-3.44,-3.44,88,2.11,61
Panzhihua,CN,26.59,101.71,1585506714,16.62,16.62,25,0.91,0
Dongsheng,CN,39.82,109.98,1585506779,4.74,4.74,28,3.69,45
Kyren,RU,51.68,102.14,1585506784,-7.97,-7.97,77,1.16,62
Maputo,MZ,-25.97,32.59,1585506650,25.0,25.0,73,4.6,0
Baní,DO,18.28,-70.33,1585506496,32.0,30.1,59,4.1,40
Ixtapa,MX,20.7,-105.2,1585506784,27.0,27.0,57,3.1,5
Marathon,US,44.9,-89.77,1585506784,5.0,3.53,93,4.6,90
La Ronge,CA,55.1,-105.28,1585506784,-16.0,-16.0,71,5.1,90
Nishihara,JP,26.18,127.76,1585506785,20.0,19.23,82,2.6,75
Hobyo,SO,5.35,48.53,1585506785,28.54,28.54,78,6.27,67
Williamsport,US,41.24,-77.0,1585506503,11.11,9.82,93,3.1,90
Moorhead,US,46.87,-96.77,1585506785,7.0,6.54,86,6.7,1
Awjilah,LY,29.11,21.29,1585506785,27.9,27.9,15,4.27,100
Kilindoni,TZ,-7.91,39.67,1585506785,28.77,28.77,76,5.79,24
Tobol,KZ,52.68,62.58,1585506785,-2.76,-2.76,97,4.12,50
San Felipe,VE,10.34,-68.74,1585506786,30.16,30.16,49,3.87,65
Sitka,US,57.05,-135.33,1585506786,1.0,0.22,50,5.1,90
Naze,JP,28.37,129.48,1585506786,17.0,17.0,88,1.5,90
Fairbanks,US,64.84,-147.72,1585506682,-12.78,-13.81,46,3.1,1
Yura,PE,-16.25,-71.68,1585506786,20.0,20.0,49,5.7,40
Los Llanos de Aridane,ES,28.66,-17.92,1585506786,20.0,16.64,64,2.6,75
Requena,ES,39.49,-1.1,1585506786,20.0,16.71,52,3.6,20
Pecos,US,31.42,-103.49,1585506666,21.67,20.71,13,4.6,1
Balma,FR,43.61,1.5,1585506786,12.0,9.74,62,7.7,90
Vuktyl,RU,63.86,57.31,1585506785,-3.54,-3.54,94,3.23,100
Cuenca,EC,-2.88,-78.98,1585506787,18.0,18.0,68,4.1,90
Leh,IN,34.17,77.58,1585506787,-9.81,-9.81,29,3.24,63
Lompoc,US,34.64,-120.46,1585506778,18.89,16.24,59,3.1,40
Orbetello,IT,42.44,11.22,1585506787,15.0,11.82,72,4.6,40
Ostrovnoy,RU,68.05,39.51,1585506787,-7.14,-7.14,94,10.32,88
Chateaubelair,VC,13.28,-61.25,1585506787,30.0,29.04,66,6.2,20
Warragul,AU,-38.17,145.93,1585506787,16.67,15.46,94,0.45,25
Roald,NO,62.58,6.13,1585506734,2.78,0.88,93,2.1,75
Pacific Grove,US,36.62,-121.92,1585506788,15.0,12.42,67,3.25,90
Iskateley,RU,67.68,53.15,1585506788,-4.91,-4.91,95,10.88,100
Praxédis Guerrero,MX,31.37,-106.02,1585506788,18.33,17.08,17,3.6,90
Walvis Bay,NA,-22.96,14.51,1585506788,16.11,16.11,89,0.89,30
Jackson,US,42.42,-122.83,1585506628,12.0,10.89,76,2.1,75
Yar-Sale,RU,66.83,70.83,1585506582,-3.52,-3.52,94,11.25,37
Chitipa,MW,-9.7,33.27,1585506788,18.37,18.37,67,1.07,71
Barra de Tecoanapa,MX,16.52,-98.75,1585506727,31.78,31.78,39,4.05,0
Moate,IE,53.55,-7.72,1585506789,3.89,3.89,69,4.92,0
Rabo de Peixe,PT,37.8,-25.58,1585506789,16.0,16.0,72,7.7,40
Province of Mantua,IT,45.17,10.78,1585506729,17.22,15.63,48,1.5,75
Alofi,NU,-19.06,-169.92,1585506789,25.0,25.0,94,1.5,36
Killybegs,IE,54.63,-8.45,1585506789,7.0,6.27,56,6.2,0
Santa Marta,CO,11.24,-74.2,1585506549,37.22,31.85,66,4.1,20
Seynod,FR,45.89,6.09,1585506789,6.67,5.77,75,1.5,90
Gunnedah,AU,-30.98,150.25,1585506789,15.0,15.0,93,1.5,80
Hofn,IS,64.25,-15.21,1585506655,10.0,10.0,61,6.7,11
Borshchiv,UA,48.8,26.04,1585506790,10.13,10.13,57,2.71,76
Tomatlán,MX,19.93,-105.25,1585506790,30.94,30.94,30,2.41,0
Ndjolé,GA,-0.18,10.76,1585506790,26.63,26.63,87,1.53,68
Nieuw Amsterdam,SR,5.88,-55.08,1585506790,29.44,29.09,74,5.1,40
Trogir,HR,43.51,16.25,1585506790,13.89,13.09,66,2.6,1
Severo-Kuril'sk,RU,50.68,156.12,1585506790,-2.61,-2.61,91,7.45,80
Okhotsk,RU,59.38,143.3,1585506724,-9.14,-9.14,96,2.3,99
Nanortalik,GL,60.14,-45.24,1585506791,2.98,2.98,92,9.92,100
Shahjahanpur,IN,27.88,79.92,1585506791,22.63,22.63,28,4.89,0
Fukuechō,JP,32.69,128.84,1585506791,12.68,12.68,73,7.94,100
Derzhavīnsk,KZ,51.1,66.32,1585506791,-3.99,-3.99,93,2.7,79
Thompson,CA,55.74,-97.86,1585506501,-16.0,-16.0,49,4.1,75
Douala,CM,4.05,9.7,1585506580,29.0,29.0,79,1.0,40
Jalu,LY,29.03,21.55,1585506581,28.08,28.08,15,4.39,98
Nara,JP,34.69,135.8,1585506792,9.44,6.13,70,5.1,75
Huangzhai,CN,38.08,112.66,1585506792,6.0,6.0,52,2.0,5
Poso,ID,-1.4,120.75,1585506792,26.4,26.4,68,0.82,100
Naryan-Mar,RU,67.67,53.09,1585506792,-4.84,-4.84,95,10.88,100
Xam Nua,LA,20.42,104.04,1585506792,20.34,20.34,48,0.9,39
Vestmanna,FO,62.16,-7.17,1585506729,7.0,7.0,75,4.1,11
Kalabo,ZM,-14.97,22.68,1585506727,21.68,21.68,58,1.17,19
Santa Rosa,PH,14.31,121.11,1585506723,28.0,27.65,69,3.1,20
Vrdy,CZ,49.92,15.47,1585506793,5.0,3.62,73,6.7,90
Biltine,TD,14.53,20.92,1585506793,32.61,32.61,10,4.21,37
Gushikawa,JP,26.35,127.87,1585506793,20.0,19.17,77,3.1,90
Saint-Junien,FR,45.88,0.9,1585506793,7.0,5.54,52,8.2,90
Inhambane,MZ,-23.86,35.38,1585506793,24.0,24.0,69,5.01,0
Ambilobe,MG,-13.2,49.05,1585506793,25.39,25.39,89,0.51,99
Ballina,AU,-28.87,153.57,1585506648,17.78,16.99,100,1.99,5
Belmonte,BR,-15.86,-38.88,1585506794,29.0,29.0,70,3.1,40
Ilhabela,BR,-23.78,-45.36,1585506664,26.47,26.47,78,4.44,50
Te Anau,NZ,-45.42,167.72,1585506794,7.97,7.97,71,0.46,16
Mehamn,NO,71.04,27.85,1585506794,-5.0,-5.0,73,11.8,75
Christchurch,NZ,-43.53,172.63,1585506622,13.33,11.08,93,2.6,68
Deep River,CA,46.1,-77.5,1585506594,4.44,3.94,100,3.1,90
Kokopo,PG,-4.35,152.26,1585506794,26.02,26.02,77,1.12,68
Tabuk,PH,17.42,121.44,1585506794,23.13,23.13,82,1.56,82
Saldanha,ZA,-33.01,17.94,1585506653,18.0,18.0,59,8.2,0
Teguise,ES,29.06,-13.56,1585506737,19.0,19.0,72,3.6,75
Bundibugyo,UG,0.74,30.04,1585506795,21.33,21.33,56,0.91,100
Villa Carlos Paz,AR,-31.42,-64.5,1585506795,30.56,27.69,51,3.6,40
Berlevåg,NO,70.86,29.09,1585506795,-8.0,-8.0,85,12.3,75
